MONTH;ECO_COD;VALUE
Dic.23;245A000000490;-6826.75
Dic.23;245D000000640;-5024.83
Dic.23;245C000000490;-1506.54
Dic.23;245B000000636;-190.32
Dic.23;24A4000000010;-101.09
Dic.23;245B000000640;0.40
Dic.23;24JM000000500;17558.66
Dic.23;245F000000640;121076.55
Gen.24;2488000000544;-29318.39
Gen.24;245F000000634;-21337.41
Gen.24;245C000000490;-9215.76
Gen.24;245D000000640;-8673.02
Gen.24;245H000000490;-7484.00
Gen.24;245B000000490;-5576.84
Gen.24;245A000000490;-4667.77
Gen.24;24JM000000490;-4065.44
Gen.24;245B000000636;-1278.56
Gen.24;245F000002930;-974.94
Gen.24;24A4000000010;-68.13
Gen.24;2488000000640;-2.98
Gen.24;24JM000000500;1875.29
Feb.24;245F000000634;-65478.67
Feb.24;2488000000544;-22681.62
Feb.24;245H000000490;-17963.10
Feb.24;245B000000490;-11167.34
Feb.24;24JM000000490;-10562.25
Feb.24;245A000000490;-10535.75
Feb.24;245C000000490;-5658.83
Feb.24;245C000000640;-1069.94
Feb.24;245F000002930;-337.76
Feb.24;24A4000000010;-63.74
Feb.24;2488000000640;-2.79
Feb.24;245F000000640;337.76
Feb.24;24JM000000500;15762.25
Mar.24;245F000000634;-69657.53
Mar.24;24JM000000490;-40239.98
Mar.24;2488000000544;-27098.52
Mar.24;245C000000490;-14464.91
Mar.24;245B000000490;-12096.79
Mar.24;2488000000640;-11522.83
Mar.24;245A000000492;-7739.68
Mar.24;245A000000490;-7209.98
Mar.24;245H000000490;-4079.15
Mar.24;245B000000491;-3733.45
Mar.24;245F000002930;-2184.05
Mar.24;245D000000640;-1788.14
Mar.24;245B000000636;-190.32
Mar.24;24A4000000010;-68.13
Mar.24;245F000000640;427.00
Mar.24;24JM000000039;7739.68
Mar.24;24JM000000500;40239.98
Apr.24;245F000000634;-74426.26
Apr.24;2488000000544;-23591.50
Apr.24;24JM000000490;-11253.66
Apr.24;245B000000490;-8307.39
Apr.24;245A000000490;-5182.48
Apr.24;245C000000490;-4566.59
Apr.24;245H000000490;-3947.57
Apr.24;245F000002930;-3172.00
Apr.24;245E000000490;-1353.17
Apr.24;245B000000636;-561.20
Apr.24;2488000000640;-256.22
Apr.24;24A4000000010;-32.97
Apr.24;24JM000000500;11253.67
Mag.24;245F000000634;-92391.47
Mag.24;245B000000490;-81558.58
Mag.24;245E000000490;-48240.89
Mag.24;2488000000544;-31774.25
Mag.24;24JM000000490;-14633.42
Mag.24;245C000000490;-6100.17
Mag.24;245H000000490;-5307.02
Mag.24;245A000000490;-5259.31
Mag.24;245F000002930;-1408.04
Mag.24;2488000000640;-198.18
Mag.24;24A4000000010;-34.07
Mag.24;24JM000000500;14633.42
Mag.24;245B000000502;74246.08
Giu.24;245F000000634;-130106.12
Giu.24;245B000000490;-78460.18
Giu.24;2488000000544;-30559.33
Giu.24;24JM000000490;-19746.87
Giu.24;245A000000491;-19666.40
Giu.24;245H000000490;-15407.70
Giu.24;245A000000492;-12688.00
Giu.24;245F000002930;-9265.23
Giu.24;245A000000490;-7214.57
Giu.24;245C000000490;-4002.50
Giu.24;245E000000490;-1353.17
Giu.24;245B000000636;-341.60
Giu.24;24A4000000010;-32.97
Giu.24;2488000000640;334.22
Giu.24;24JM000000039;19666.40
Giu.24;24JM000000500;19746.87
Lug.24;245F000000634;-151151.73
Lug.24;2488000000544;-30041.89
Lug.24;24JM000000490;-18054.09
Lug.24;245H000000490;-14195.79
Lug.24;245C000000490;-14172.45
Lug.24;245B000000490;-10022.02
Lug.24;245F000002930;-5618.23
Lug.24;245A000000490;-4667.77
Lug.24;245E000000490;-1398.27
Lug.24;24A4000000010;-134.78
Lug.24;245D000000640;-132.98
Lug.24;2488000000640;-2.98
Lug.24;24JM000000500;18054.09
Ago.24;245F000000634;-66054.77
Ago.24;2488000000544;-30283.66
Ago.24;245B000000490;-17573.77
Ago.24;245H000000490;-8332.68
Ago.24;245C000000490;-7061.55
Ago.24;245A000000490;-7040.42
Ago.24;245E000000490;-1398.27
Ago.24;245B000000636;-244.00
Ago.24;24A4000000010;-134.78
Ago.24;2488000000640;-2.98
Set.24;245B000000490;-60867.57
Set.24;245F000000634;-51599.10
Set.24;2488000000544;-27685.31
Set.24;24JM000000490;-14806.89
Set.24;245A000000490;-11535.56
Set.24;245F000002930;-7576.18
Set.24;245D000000640;-5874.00
Set.24;245C000000490;-5718.59
Set.24;245H000000490;-4533.75
Set.24;245E000000490;-1353.17
Set.24;2455000000490;-899.64
Set.24;245A000000491;-199.71
Set.24;24A4000000010;-130.43
Set.24;2488000000640;-2.89
Set.24;24JM000000039;199.71
Set.24;24JM000000500;14806.89
Ott.24;245F000000634;-86256.65
Ott.24;2488000000544;-26802.13
Ott.24;245H000000490;-16575.95
Ott.24;245B000000491;-6753.15
Ott.24;245C000000490;-3160.38
Ott.24;2455000000490;-1857.19
Ott.24;245A000000490;-1491.21
Ott.24;245E000000490;-1398.27
Ott.24;24JM000000490;-417.44
Ott.24;24A4000000010;-33.70
Ott.24;2488000000640;-2.98
Ott.24;24JM000000500;417.44
Ott.24;245B000000490;1062.40
Nov.24;245B000000490;-120086.86
Nov.24;245F000000634;-80856.02
Nov.24;2488000000544;-22913.48
Nov.24;24JM000000490;-18957.03
Nov.24;245A000000490;-10017.82
Nov.24;245D000000640;-7289.15
Nov.24;245C000000490;-7074.68
Nov.24;245H000000490;-4008.10
Nov.24;245E000000490;-1353.17
Nov.24;2488000000640;-125.84
Nov.24;24A4000000010;-32.61
Nov.24;24JM000000500;18957.03
Dic.24;245F000000634;-229422.52
Dic.24;245B000000490;-61851.49
Dic.24;2488000000544;-45914.13
Dic.24;24JM000000490;-38837.54
Dic.24;245E000000490;-20613.27
