MONTH;ECO_COD;VALUE
Gen.21;24JM000000500;76125.64
Gen.21;245D000000640;-33.04
Gen.21;245B000000611;-1900.1406037646907
Feb.21;245A000000490;-5861.86
Feb.21;245F000000634;-30788.68
Feb.21;24A4000000010;-510.5
Feb.21;24JM000000500;13000.0
Feb.21;2488000000544;-33191.74
Feb.21;245B000000491;-5360.008186680886
Feb.21;2488000002930;-581.4255524934998
Feb.21;245F000000640;9183.364678692704
Feb.21;245A000000491;-7695.116113633668
Feb.21;245B000000640;-758.0791394106028
Feb.21;245A000000493;-7732.067225636406
Feb.21;245H000000490;-10049.55
Feb.21;245F000002930;-1649.84
Feb.21;24A0000000017;-5075.296023256139
Feb.21;2455000000490;-1061.696144477789
Feb.21;245C000000640;-1057.5233847220563
Feb.21;24JM000000039;9607.223004730895
Feb.21;245B000000490;-2873.74
Feb.21;245D000000640;-278.41
Feb.21;245A000000492;-8086.259826433617
Feb.21;245C000000490;-1727.76
Feb.21;245E000000490;-17124.699339938856
Feb.21;245B000000611;-1674.4961350085207
Feb.21;2488000000611;10633.34902872049
Feb.21;24JM000000490;-13998.01
Feb.21;245B000000636;-146.93901404959828
Feb.21;245F000000611;50118.97642319766
Feb.21;24JM000000050;3880.595493071724
Feb.21;2488000000640;-2531.4158335857223
Mar.21;2455000000490;-1025.4163134511446
Mar.21;245A000000492;-7646.401906072611
Mar.21;245D000000640;-15677.0
Mar.21;245B000000491;-4164.17
Mar.21;245F000000611;54.67
Mar.21;245A000000491;-3330.6
Mar.21;245F000000640;7994.548757684416
Mar.21;245B000000611;-888.16
Mar.21;245A000000493;-7667.141787166096
Mar.21;2488000000640;-2573.308017142639
Mar.21;24JM000000490;-83062.31
Mar.21;245E000000490;-17751.622707047656
Mar.21;24JM000000500;83062.31
Mar.21;245F000002930;-8208.238393014768
Mar.21;2488000000611;9801.951397264798
Mar.21;24JM000000050;3750.176056235823
Mar.21;24JM000000039;7416.054482007858
Mar.21;24A4000000010;-565.19
Mar.21;245B000000636;-244.0
Mar.21;245C000000490;-1179.57
Mar.21;245C000000640;-1061.0073509944752
Mar.21;245B000000490;-75225.49
Mar.21;245F000000634;-216787.98
Mar.21;245H000000490;-5535.65
Mar.21;245A000000490;-11460.19
Mar.21;24A0000000017;-5174.976722795344
Mar.21;2488000000544;-24146.93
Mar.21;2488000002930;-637.6245425347521
Mar.21;245B000000640;-746.5091467912937
Apr.21;245A000000490;-4440.8
Apr.21;245B000000640;-743.0081802034073
Apr.21;245D000000640;-2973.5899928304652
Apr.21;2488000000544;-23741.32
Apr.21;2455000000490;-1018.0465230092284
Apr.21;24JM000000039;9664.270103982628
Apr.21;245B000000611;-1352.882334475666
Apr.21;245A000000491;-5626.566271434709
Apr.21;24JM000000050;3711.035092851532
Apr.21;24A4000000010;-546.96
Apr.21;245F000002930;-2642.4
Apr.21;245B000000490;-2168.03
Apr.21;245H000000490;-23482.92
Apr.21;2488000002930;-649.0423122271922
Apr.21;245C000000640;-1061.7151781346258
Apr.21;245F000000640;7753.020537335654
Apr.21;24A0000000017;-5195.228556184661
Apr.21;245F000000634;-50016.19
Apr.21;245B000000491;-5005.675606317068
Apr.21;24JM000000490;-8372.0
Apr.21;245F000000611;21414.235199926792
Apr.21;245B000000636;-48.8
Apr.21;2488000000611;9646.22257624076
Apr.21;245A000000492;-4270.0
Apr.21;245E000000490;-17872.03766854109
Apr.21;245A000000493;-7780.865441772847
Apr.21;24JM000000500;10229.0
Apr.21;2488000000640;-2581.819128377123
Apr.21;245C000000490;-2436.37
Mag.21;245B000000640;-732.4841168222428
Mag.21;245F000000611;1674.82
Mag.21;245F000002930;-1674.82
Mag.21;245C000000640;-1063.1935898188697
Mag.21;245H000000490;-3484.86
Mag.21;245C000000490;-4650.8
Mag.21;2488000000544;-30846.77
Mag.21;245F000000634;-142457.72
Mag.21;2488000000611;9294.157975377422
Mag.21;245E000000490;-18126.327971932387
Mag.21;245F000000640;7248.549709948937
Mag.21;245D000000640;-2598.4649581926733
Mag.21;2488000000640;-2599.595963399707
Mag.21;245B000000636;-315.33
Mag.21;245B000000611;-1259.274219134128
Mag.21;24JM000000039;8078.990944964878
Mag.21;24JM000000490;-144145.92
Mag.21;245A000000490;-6887.21
Mag.21;24JM000000500;141081.55
Mag.21;245A000000491;-6174.660107738839
Mag.21;245A000000493;-7819.710198815808
Mag.21;245B000000491;-4797.034264768518
Mag.21;24A4000000010;-565.19
Mag.21;245B000000490;-289573.94
Mag.21;24A0000000017;-5237.527791989278
Mag.21;2488000002930;-672.8902012711033
Mag.21;2455000000490;-1002.6513346963318
Mag.21;24JM000000050;3000.0
Mag.21;245A000000492;-5221.354025938914
Giu.21;24JM000000039;4758.0
Giu.21;245C000000640;-1059.69269747496
Giu.21;245F000002930;-7676.62
Giu.21;245A000000493;-8285.793191466906
Giu.21;245A000000491;-4758.0
Giu.21;24JM000000050;3786.8258913899645
Giu.21;245A000000492;-5624.246220146137
Giu.21;24JM000000490;-33081.52
Giu.21;245D000000640;-222.53
Giu.21;245B000000491;-7330.11
Giu.21;245C000000490;-7844.36
Giu.21;2488000002930;-616.4181933519209
Giu.21;24A0000000017;-5137.362816049346
Giu.21;245F000000640;8443.141227417374
Giu.21;245B000000636;-146.4
Giu.21;2488000000611;10166.417931545715
Giu.21;245F000000611;5820.08
Giu.21;2455000000490;-1039.1064087780721
Giu.21;245B000000490;-49329.67
Giu.21;245F000000634;-399907.33
Giu.21;2488000000640;-2557.5002560316093
Giu.21;245B000000640;-757.8968485209252
Giu.21;245E000000490;-17524.304716893454
Giu.21;24A4000000010;-743.68
Giu.21;24JM000000500;34301.52
Giu.21;245A000000490;-5344.03
Giu.21;245B000000611;-1359.8082169776783
Giu.21;2488000000544;-21306.74
Giu.21;245H000000490;-31095.72
Lug.21;24A4000000010;-203.28
Lug.21;24JM000000039;11760.6615985011
Lug.21;245A000000493;-8517.879526007211
Lug.21;245B000000490;-43633.86
Lug.21;245C000000490;-5090.28
Lug.21;245B000000491;-5089.1102923016915
Lug.21;2488000000544;-20219.55
Lug.21;24A0000000017;-5123.0480307485395
Lug.21;245B000000636;-341.6
Lug.21;245H000000490;-3464.6
Lug.21;245B000000640;-761.5281092066749
Lug.21;24JM000000050;3781.78322142432
Lug.21;24JM000000490;-57147.1
Lug.21;245B000000611;-1338.6839562526532
Lug.21;245A000000490;-5557.35
Lug.21;2488000000640;-2551.484270829144
Lug.21;245F000000640;8613.86278886397
Lug.21;245D000000640;-2684.7583825864763
Lug.21;245F000000634;-95389.13
Lug.21;245E000000490;-17438.268831497026
Lug.21;245A000000491;-6459.212389029105
Lug.21;24JM000000500;57947.11
Lug.21;2455000000490;-1044.3160471468636
Lug.21;245F000000611;25953.398388562935
Lug.21;245C000000640;-1059.1923776596348
Lug.21;2488000002930;-608.3476639699522
Lug.21;2488000000611;405.32
Lug.21;245A000000492;-5757.194879731696
Lug.21;245F000002930;-3749.35
Ago.21;2455000000490;-1039.142733176032
Ago.21;245B000000490;-46197.57066739732
Ago.21;24JM000000500;27911.645770602183
Ago.21;245F000000634;-71275.58
Ago.21;245E000000490;-17523.70377077627
Ago.21;245F000000611;660.54
Ago.21;24A4000000010;-203.28
Ago.21;245A000000492;-6344.0
Ago.21;245A000000490;-5557.35
Ago.21;2488000000544;-3825.35
Ago.21;245F000000640;8444.333921883595
Ago.21;245D000000640;-2730.712710762021
Ago.21;24JM000000490;-28967.076203694687
Ago.21;245A000000493;-8685.226503929462
Ago.21;245A000000491;-6603.835740373316
Ago.21;245F000002930;-2129.81
Ago.21;245C000000640;-1059.68920214215
Ago.21;24JM000000039;5655.063996968398
Ago.21;24JM000000050;3780.1390824365853
Ago.21;245C000000490;-1260.07
Ago.21;245B000000640;-757.9254511276066
Ago.21;2488000000611;7296.987637994343
Ago.21;245H000000490;-3464.6
Ago.21;245B000000611;-1289.5463750693648
Ago.21;24A0000000017;-5137.262810138735
Ago.21;245B000000491;-5164.841044313467
Ago.21;2488000000640;-2557.4582271736313
Ago.21;2488000002930;-616.3618119192032
Ago.21;245B000000636;-302.0005482093314
Set.21;245D000000640;-2975.42
Set.21;245B000000611;-1275.1701719305206
Set.21;2488000000611;8335.18962581916
Set.21;245B000000636;-146.4
Set.21;2455000000490;-1041.8637456021963
Set.21;245A000000490;-11482.64
Set.21;24JM000000039;6344.0
