MONTH;DRV_COD;VALUE
Gen.22;Numero Cause;3.0
Feb.22;Oneri cause passive e rischio operativo;40248.7
Feb.22;Accantonato del mese nuovi oneri;28780.000921708564
Feb.22;Intervento consulenti esterni gestione atti liti fiscali;0.053561579220800105
Feb.22;Costo parcelle su importo complessivo domanda;0.05
Feb.22;Costo Medio Cause;5749.81
Feb.22;Oneri spese legali al netto degli accantomenti;-123300.0
Feb.22;Numero Cause;7.0
Feb.22;Importo complessivo di domanda cause pendenti;889905.0
Mar.22;Costo Medio Cause;8301.25
Mar.22;Oneri cause passive e rischio operativo;58108.74
Mar.22;Accantonato del mese nuovi oneri;29314.855542224832
Mar.22;Costo parcelle su importo complessivo domanda;0.78
Mar.22;Intervento consulenti esterni gestione atti liti fiscali;0.05711403107428504
Mar.22;Oneri spese legali al netto degli accantomenti;-14480.85
Mar.22;Numero Cause;7.0
Mar.22;Importo complessivo di domanda cause pendenti;74448.0
Apr.22;Costo parcelle su importo complessivo domanda;0.33
Apr.22;Oneri cause passive e rischio operativo;33713.72
Apr.22;Numero Cause;5.0
Apr.22;Accantonato del mese nuovi oneri;4520.0
Apr.22;Intervento consulenti esterni gestione atti liti fiscali;0.06156317941264212
Apr.22;Importo complessivo di domanda cause pendenti;117600.0
Apr.22;Oneri spese legali al netto degli accantomenti;-101993.41
Apr.22;Costo Medio Cause;6742.74
Mag.22;Intervento consulenti esterni gestione atti liti fiscali;0.05947691523623734
Mag.22;Oneri cause passive e rischio operativo;8898.23
Mag.22;Costo parcelle su importo complessivo domanda;0.33
Mag.22;Oneri spese legali al netto degli accantomenti;-476470.0
Mag.22;Numero Cause;4.0
Mag.22;Importo complessivo di domanda cause pendenti;27020.0
Mag.22;Costo Medio Cause;2224.56
Mag.22;Accantonato del mese nuovi oneri;20211.22301361623
Giu.22;Intervento consulenti esterni gestione atti liti fiscali;0.057189475361092125
Giu.22;Numero Cause;4.0
Giu.22;Costo parcelle su importo complessivo domanda;0.37
Giu.22;Oneri spese legali al netto degli accantomenti;485412.16
Giu.22;Costo Medio Cause;34081.19
Giu.22;Oneri cause passive e rischio operativo;136324.74
Giu.22;Accantonato del mese nuovi oneri;23825.870011902964
Giu.22;Importo complessivo di domanda cause pendenti;367169.0
Lug.22;Costo parcelle su importo complessivo domanda;12610.84
Lug.22;Oneri cause passive e rischio operativo;12610.83
Lug.22;Costo Medio Cause;12610.83
Lug.22;Intervento consulenti esterni gestione atti liti fiscali;0.050753052087042276
Lug.22;Oneri spese legali al netto degli accantomenti;-116939.93
Lug.22;Numero Cause;3.8107456359577054
Lug.22;Importo complessivo di domanda cause pendenti;1268448.3654025218
Lug.22;Accantonato del mese nuovi oneri;25578.719463428708
Ago.22;Accantonato del mese nuovi oneri;27008.72645761073
Ago.22;Numero Cause;3.0
Ago.22;Oneri cause passive e rischio operativo;34012.75
Ago.22;Costo parcelle su importo complessivo domanda;7.24
Ago.22;Importo complessivo di domanda cause pendenti;4700.0
Ago.22;Intervento consulenti esterni gestione atti liti fiscali;0.05166157804900403
Ago.22;Costo Medio Cause;11337.58
Ago.22;Oneri spese legali al netto degli accantomenti;-392869.86346255365
Set.22;Numero Cause;2.0
Set.22;Intervento consulenti esterni gestione atti liti fiscali;0.050943123240114734
Set.22;Importo complessivo di domanda cause pendenti;372532.0
Set.22;Oneri cause passive e rischio operativo;93819.98
Set.22;Accantonato del mese nuovi oneri;27761.49677987537
Set.22;Costo parcelle su importo complessivo domanda;0.25
Set.22;Costo Medio Cause;46909.99
Set.22;Oneri spese legali al netto degli accantomenti;-142331.88
Ott.22;Costo Medio Cause;5441.9
Ott.22;Costo parcelle su importo complessivo domanda;0.74
Ott.22;Importo complessivo di domanda cause pendenti;36946.0
Ott.22;Intervento consulenti esterni gestione atti liti fiscali;0.048866909154208764
Ott.22;Numero Cause;5.0
Ott.22;Oneri cause passive e rischio operativo;27209.5
Ott.22;Oneri spese legali al netto degli accantomenti;273988.0
Ott.22;Accantonato del mese nuovi oneri;28067.5867404295
Nov.22;Numero Cause;1.0
Nov.22;Oneri cause passive e rischio operativo;106850.37
Nov.22;Costo Medio Cause;106850.37
Nov.22;Oneri spese legali al netto degli accantomenti;-23878.92
Nov.22;Accantonato del mese nuovi oneri;28015.801716305825
Nov.22;Costo parcelle su importo complessivo domanda;4.27
Nov.22;Intervento consulenti esterni gestione atti liti fiscali;0.04506229392087156
Nov.22;Importo complessivo di domanda cause pendenti;25000.0
Dic.22;Oneri cause passive e rischio operativo;88643.6
Dic.22;Oneri spese legali al netto degli accantomenti;-26633565.42
Dic.22;Costo parcelle su importo complessivo domanda;0.51
Dic.22;Costo Medio Cause;44321.8
Dic.22;Intervento consulenti esterni gestione atti liti fiscali;0.04398285874913638
Dic.22;Numero Cause;2.0
Dic.22;Accantonato del mese nuovi oneri;30000.0
Dic.22;Importo complessivo di domanda cause pendenti;174255.0
Gen.23;Importo complessivo di domanda cause pendenti;20000.0
