ECO_GRP_0;ECO_GRP_1;DRV_COD
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Ftse Mib
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Ftse Mib
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Ftse Mib
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Ftse Mib
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Ftse Mib
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Ftse Mib
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Ftse Mib
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Ftse Mib
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Germania 10Y
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Germania 10Y
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Germania 10Y
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Germania 10Y
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Germania 10Y
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Germania 10Y
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Germania 10Y
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Germania 10Y
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Inflazione - Area Euro (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Inflazione - Area Euro (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Inflazione - Area Euro (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Inflazione - Area Euro (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Inflazione - Area Euro (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Inflazione - Area Euro (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Inflazione - Area Euro (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Inflazione - Area Euro (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Inflazione - Cina (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Inflazione - Cina (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Inflazione - Cina (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Inflazione - Cina (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Inflazione - Cina (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Inflazione - Cina (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Inflazione - Cina (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Inflazione - Cina (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Inflazione - Giappone (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Inflazione - Giappone (% a/a)
